Pergunta|Opção A|Opção B|Opção C|Opção D|Resposta (0-3)|Categoria|Feedback
Qual foi o ano da Proclamação da República Brasileira?|15 de novembro de 1889|7 de setembro de 1822|13 de maio de 1888|21 de abril de 1792|0|Proclamação da República|A República foi proclamada em 15 de novembro de 1889 destituindo a monarquia do Brasil.
Quem foi o primeiro presidente constitucional da República Brasileira?|Deodoro da Fonseca|Afonso Pena|Floriano Peixoto|Hermes da Fonseca|0|Primeira República|Deodoro da Fonseca foi o primeiro presidente constitucional eleito em 1891.
Em qual batalha ocorreu o Golpe da Pólvora marcando o domínio português no Brasil?|Batalha de Guararapes|Batalha do Passo das Cruzes|Batalha de Montes Claros|Batalha de Itororó|0|História Militar|A Batalha de Guararapes foi decisiva para a consolidação da presença portuguesa no Brasil Colonial.
Qual general comandou as forças brasileiras na Guerra do Paraguai?|Marquês de Tamandaré|Manuel Luis Osório|Duque de Caxias|Visconde de Pirajá|2|Guerra do Paraguai|O Duque de Caxias foi o principal comandante das forças brasileiras na Guerra do Paraguai (1864-1870).
Em que ano terminou a Guerra do Paraguai?|1870|1865|1875|1880|0|Guerra do Paraguai|A Guerra do Paraguai terminou em 1870 com a vitória das forças aliadas.
Qual foi a principal causa do fim da escravidão no Brasil?|Pressão internacional|Lei Áurea de 1888|Movimentos abolicionistas|Decisão do Imperador|1|Abolição|A Lei Áurea assinada pela Princesa Isabel em 13 de maio de 1888 aboliu a escravidão no Brasil.
Qual era o nome do navio que trouxe a Princesa Isabel ao Brasil?|Navios brasileiros|Navios portugueses|Navios ingleses|Navios franceses|2|Transporte Marítimo|Navios ingleses foram frequentemente utilizados para transportes diplomáticos neste período histórico.
Em qual ano Portugal e Brasil foram unidos sob a mesma coroa?|1580|1600|1640|1668|0|União Ibérica|Em 1580 Portugal ficou sob o domínio da Espanha afetando indiretamente o Brasil colonial.
Qual foi a primeira capital do Brasil colonial?|Rio de Janeiro|Salvador|São Vicente|Olinda|1|Brasil Colonial|Salvador foi a primeira capital do Brasil colonial sendo a sede da Capitania-Geral desde 1549.
Quantos anos durou a dominação holandesa no Brasil?|24 anos|35 anos|42 anos|50 anos|0|Invasões Holandesas|Os holandeses dominaram Pernambuco por cerca de 24 anos (1630-1654) principalmente durante o governo de Maurício de Nassau.
